"","YEAR","CLOSE_TO_SITE","avg_price","sales_count","avg_assessment","overall_assessment"
"1","2012",FALSE,50507.9606741573,178,86612.3595505618,65518.5891891892
"2","2012",TRUE,27601.5,12,56458.3333333333,85978.3769633508
"3","2013",FALSE,43960.9234693878,196,51787.2448979592,65518.5891891892
"4","2013",TRUE,78511.4545454545,11,102018.181818182,85978.3769633508
"5","2014",FALSE,50945.7708333333,192,59115,65518.5891891892
"6","2014",TRUE,66534,5,81940,85978.3769633508
"7","2015",FALSE,57085.7483443709,151,56857.6754966887,65518.5891891892
"8","2015",TRUE,19522.6666666667,3,59266.6666666667,85978.3769633508
"9","2016",FALSE,51801.5367647059,136,56875.7352941177,65518.5891891892
"10","2016",TRUE,48549.5,6,96500,85978.3769633508
"11","2017",FALSE,53731.5301204819,166,54797.5903614458,65518.5891891892
"12","2017",TRUE,63833.3333333333,6,55100,85978.3769633508
"13","2018",FALSE,71809.2555555556,90,53660,65518.5891891892
"14","2018",TRUE,60156.6666666667,6,68383.3333333333,85978.3769633508
