"","YEAR","CLOSE_TO_SITE","avg_price","sales_count","avg_assessment","overall_assessment"
"1","2012",FALSE,35217.7058823529,102,27072.5490196078,42389.863713799
"2","2012",TRUE,53639.8,10,65520,95610
"3","2013",FALSE,43650.1885245902,122,24263.1147540984,42389.863713799
"4","2013",TRUE,96223.8,5,36260,95610
"5","2014",FALSE,47450.421875,64,204704.6875,42389.863713799
"6","2014",TRUE,10760,5,28180,95610
"7","2015",FALSE,67308.5904761905,105,57655.2380952381,42389.863713799
"8","2015",TRUE,34556.1428571429,7,41885.7142857143,95610
"9","2016",FALSE,32151.5151515152,66,33388.6363636364,42389.863713799
"10","2016",TRUE,16269.6363636364,11,28254.5454545455,95610
"11","2017",FALSE,71425.4642857143,84,35561.9047619048,42389.863713799
"12","2017",TRUE,6610.5,2,29550,95610
"13","2018",FALSE,71676.5098039216,51,40984.3137254902,42389.863713799
"14","2018",TRUE,3000,1,30000,95610
